GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reviews-api,com.iwellness.reviews,ReviewsApiApplication,5,3,0,0,2,1,1,1,1,1
reviews-api,com.iwellness.reviews.dto,RatingDTO.RatingDistribution,208,49,46,0,1,8,32,8,9,8
reviews-api,com.iwellness.reviews.dto,RatingDTO,208,50,46,0,1,8,32,8,9,8
reviews-api,com.iwellness.reviews.dto,RatingDTO.RatingDTOBuilder,13,42,0,0,0,1,1,7,1,7
reviews-api,com.iwellness.reviews.dto,ServicioDTO,326,27,66,0,12,1,51,7,18,7
reviews-api,com.iwellness.reviews.dto,ReviewRequestDTO.ReviewRequestDTOBuilder,11,35,0,0,0,1,1,6,1,6
reviews-api,com.iwellness.reviews.dto,RatingDTO.RatingDistribution.RatingDistributionBuilder,12,42,0,0,0,1,1,7,1,7
reviews-api,com.iwellness.reviews.dto,ReviewRequestDTO,154,61,38,0,0,8,22,12,3,12
reviews-api,com.iwellness.reviews.dto,ReviewResponseDTO.ReviewResponseDTOBuilder,24,77,0,0,0,1,1,12,1,12
reviews-api,com.iwellness.reviews.dto,UsuarioDTO,218,28,46,0,5,4,33,8,10,8
reviews-api,com.iwellness.reviews.dto,ReviewResponseDTO,383,91,86,0,1,13,57,13,14,13
reviews-api,com.iwellness.reviews.exception,DuplicateReviewException,0,4,0,0,0,2,0,1,0,1
reviews-api,com.iwellness.reviews.exception,ErrorResponse,208,51,46,0,1,8,32,8,9,8
reviews-api,com.iwellness.reviews.exception,UnauthorizedReviewAccessException,0,4,0,0,0,2,0,1,0,1
reviews-api,com.iwellness.reviews.exception,GlobalExceptionHandler,70,103,0,0,23,34,3,6,3,6
reviews-api,com.iwellness.reviews.exception,ErrorResponse.ErrorResponseBuilder,19,37,0,0,0,1,2,6,2,6
reviews-api,com.iwellness.reviews.exception,ReviewNotFoundException,0,4,0,0,0,2,0,1,0,1
reviews-api,com.iwellness.reviews.config,FeignClientInterceptor,55,7,6,0,15,2,4,2,1,2
reviews-api,com.iwellness.reviews.config,RabbitMQConfig,11,69,0,0,3,19,1,11,1,11
reviews-api,com.iwellness.reviews.event,ReviewCreatedEvent.ReviewCreatedEventBuilder,15,49,0,0,0,1,1,8,1,8
reviews-api,com.iwellness.reviews.event,ReviewUpdatedEvent,276,25,54,0,8,2,44,2,17,2
reviews-api,com.iwellness.reviews.event,ReviewDeletedEvent.ReviewDeletedEventBuilder,46,0,0,0,1,0,7,0,7,0
reviews-api,com.iwellness.reviews.event,ReviewUpdatedEvent.ReviewUpdatedEventBuilder,15,49,0,0,0,1,1,8,1,8
reviews-api,com.iwellness.reviews.event,ReviewCreatedEvent,276,25,54,0,8,2,44,2,17,2
reviews-api,com.iwellness.reviews.event,RatingChangedEvent,129,0,22,0,6,0,22,0,11,0
reviews-api,com.iwellness.reviews.event,RatingChangedEvent.RatingChangedEventBuilder,28,0,0,0,1,0,5,0,5,0
reviews-api,com.iwellness.reviews.event,ReviewDeletedEvent,215,0,38,0,8,0,34,0,15,0
reviews-api,com.iwellness.reviews.entity,Review.ReviewBuilder,27,65,0,0,0,1,2,10,2,10
reviews-api,com.iwellness.reviews.entity,Review,359,83,78,0,0,18,50,16,11,16
reviews-api,com.iwellness.reviews.model,EntityType,0,15,0,0,0,3,0,1,0,1
reviews-api,com.iwellness.reviews.client,CorsConfigurationProperties,0,10,0,0,0,4,0,3,0,3
reviews-api,com.iwellness.reviews.client,CorsConfig,10,58,1,1,0,12,1,2,0,2
reviews-api,com.iwellness.reviews.controller,ReviewController,36,121,0,0,5,21,1,8,1,8
reviews-api,com.iwellness.reviews.publisher,ReviewEventPublisher,74,82,0,0,26,28,2,4,2,4
reviews-api,com.iwellness.reviews.service,ReviewableService,48,23,2,1,11,7,3,3,1,3
reviews-api,com.iwellness.reviews.service,ReviewService,58,352,6,10,10,87,9,12,3,10
